                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3019,                 2.4475,                 1.5709,                0.00922,                0.62588,                0.03072,                0.01231,                 2.8709,                 3.9978,                 5.1361,                 0.0919,                 0.0009,                 0.0009
                      1,                  1.619,                  2.282,                 1.8279,                0.10321,                0.18941,                0.05954,                0.02185,                 2.4139,                 12.527,                 5.1798,               0.082896,              0.0018962,              0.0018962
                      2,                 1.6987,                 2.2829,                 1.9016,                0.05556,                0.02941,                0.02151,                0.00684,                 3.3424,                 127.24,                 5.9523,               0.073889,              0.0028885,              0.0028885
                      3,                 1.8224,                 2.3722,                 1.9582,                0.00578,                0.61294,                0.00784,                0.00188,                 3.4764,                 2262.8,                 22.569,               0.064877,              0.0038768,              0.0038768
                      4,                 1.8749,                 2.3451,                 2.0181,                0.00085,                0.12824,                 0.0005,                0.00012,                 4.1877,                  11459,                 93.966,               0.055861,              0.0048612,              0.0048612
                      5,                 1.8711,                 2.3596,                 2.0091,                0.00085,                0.12824,                 0.0005,                0.00012,                 3.8443,                  80487,                 216.59,               0.046842,              0.0058416,              0.0058416
                      6,                 1.8723,                 2.3521,                 2.0232,                0.00085,                0.12824,                 0.0005,                0.00012,                 4.9269,                  71322,                 35.142,               0.037818,               0.006818,               0.006818
                      7,                 1.8388,                  2.301,                 2.0314,                 0.0005,                0.04941,                0.00028,                  4e-05,                 5.0091,                 4979.8,                 51.362,               0.028791,              0.0077905,              0.0077905
                      8,                 1.8754,                  2.296,                 2.0545,                0.00096,                0.05882,                0.00045,                  7e-05,                 4.9346,                 4131.1,                 58.716,               0.019759,               0.008759,               0.008759
                      9,                 1.8611,                 2.2898,                 2.0197,                0.00057,                0.08824,                0.00066,                0.00018,                 5.0312,                 5933.9,                 115.08,               0.010724,              0.0097236,              0.0097236
                     10,                 1.8614,                 2.3351,                 2.0599,                0.00026,                0.05882,                0.00024,                  8e-05,                 4.8978,                 1937.2,                 33.221,               0.009802,               0.009802,               0.009802
                     11,                 1.7637,                 2.2029,                 1.9349,                0.00046,                0.04941,                0.00023,                  5e-05,                  5.073,                 2206.9,                 28.502,               0.009802,               0.009802,               0.009802
                     12,                 1.8355,                 2.2257,                 1.9886,                0.00134,                0.11882,                0.00072,                0.00017,                 3.8242,                 850.35,                 7.7977,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7936,                 2.1911,                 1.9769,                0.02373,                0.06941,                0.00711,                0.00228,                 3.2818,                 50.473,                 4.1791,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7332,                 2.1555,                  1.925,                0.00513,                0.04941,                0.00333,                0.00094,                 3.3711,                 29.625,                 3.4792,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.7047,                 2.1384,                 1.9052,                0.01399,                0.14941,                0.00554,                0.00099,                 3.2318,                 12.403,                 3.5713,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6983,                 2.1314,                 1.8992,                0.02844,                0.14941,                0.01592,                0.00381,                 2.8978,                 3.8587,                 3.4185,               0.009703,               0.009703,               0.009703
                     17,                 1.6504,                 2.0837,                 1.8376,                0.04903,                   0.06,                0.01842,                0.00609,                 2.8559,                 4.9122,                 3.3375,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.7139,                 2.0912,                 1.8801,                0.09859,                0.16941,                0.05196,                0.01268,                 2.7919,                 8.8778,                 3.7598,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6569,                 2.0446,                  1.843,                0.59995,                0.20495,                0.12209,                0.04757,                 2.1555,                 5.8973,                   3.39,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6446,                   2.05,                 1.8354,                0.10927,                0.52824,                0.15007,                 0.0625,                 1.8694,                 3.7544,                  2.378,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.5932,                  2.035,                 1.8033,                0.08637,                0.22824,                0.07225,                0.02478,                 2.3561,                 3.8806,                  2.764,               0.009604,               0.009604,               0.009604
                     22,                 1.6618,                 2.0489,                 1.8672,                0.01966,                0.05882,                0.00577,                0.00171,                 4.0618,                 8.6329,                  5.293,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6513,                 2.0921,                 1.8408,                0.09302,                0.12824,                0.04475,                0.01766,                 2.5085,                 4.3205,                 2.9973,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6296,                 2.0407,                 1.8705,                0.01162,                0.02941,                0.00375,                 0.0011,                 3.2739,                 6.2996,                 3.6976,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5711,                 1.9682,                 1.7881,                0.01218,                0.04941,                0.00773,                0.00242,                 2.6637,                 4.2561,                 2.9268,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.6162,                 1.9755,                 1.8137,                0.04496,                0.19882,                0.03522,                0.01039,                  2.174,                 3.2531,                 2.4627,               0.009505,               0.009505,               0.009505
                     27,                 1.5944,                 1.9956,                 1.8007,                 0.1034,                0.14941,                0.08479,                0.02193,                 2.6908,                 2.8419,                 2.9403,              0.0094852,              0.0094852,              0.0094852
                     28,                  1.614,                 2.0285,                 1.8181,                0.12672,                0.22941,                0.12267,                 0.0326,                 2.2526,                 2.4894,                 2.6124,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5667,                 1.9328,                 1.7718,                0.07164,                   0.08,                0.07339,                0.02163,                 2.5567,                 3.2984,                 2.9287,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5255,                 1.9019,                 1.7244,                0.08968,                   0.18,                0.10026,                0.01902,                  2.605,                 4.1257,                 2.8691,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5571,                 1.8973,                 1.7431,                0.07115,                0.24824,                0.03638,                0.01213,                 2.6032,                 5.2502,                 2.8891,               0.009406,               0.009406,               0.009406
                     32,                  1.536,                 1.9345,                 1.7577,                0.10752,                0.43882,                0.14743,                0.04656,                 2.0377,                  3.099,                 2.4281,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5324,                 1.9434,                 1.7798,                0.36594,                0.36657,                0.20089,                0.08681,                 1.7146,                 2.7906,                 2.2152,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5431,                 1.8718,                 1.7594,                0.68601,                   0.24,                0.25265,                0.08489,                  1.926,                 2.5354,                 2.4416,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5606,                 1.8582,                 1.7644,                0.13081,                0.44479,                0.13893,                0.05408,                 1.9949,                  3.117,                 2.4223,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5129,                 1.8167,                 1.7187,                0.17188,                0.37882,                0.15611,                0.05699,                 1.7778,                 2.7329,                 2.2279,               0.009307,               0.009307,               0.009307
                     37,                 1.4958,                 1.8542,                 1.7274,                0.10028,                0.36706,                0.10666,                0.04126,                 2.0081,                 2.9937,                 2.3885,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5058,                 1.8639,                 1.7155,                0.24267,                0.11199,                0.13553,                0.05134,                 2.1984,                 3.1393,                 2.5257,              0.0092674,              0.0092674,              0.0092674
